Sample Read Subtype NumSamplesSequenced BpSequenced NumVariants Study
761-V10 R1 pdmH1N1 54 13158 1 flu-Poon
741-V10 R1 H3N2 46 13550 1 flu-Poon
671-V10 R2 H3N2 46 13550 114 flu-Poon
771-V10 R1R2 pdmH1N1 54 13158 26 flu-Poon
734-V10 R2 H3N2 46 13550 112 flu-Poon
712-V20 R1 pdmH1N1 54 13158 5 flu-Poon
688-V10 R1R2 H3N2 46 13550 58 flu-Poon
779-V20 R1R2 pdmH1N1 54 13158 20 flu-Poon
762-V10 R1 pdmH1N1 54 13158 1 flu-Poon
695-V10 R1 H3N2 46 13550 2 flu-Poon
746-V10 R1 pdmH1N1 54 13158 0 flu-Poon
674-V10 R2 H3N2 46 13550 151 flu-Poon
684-V23 R1 pdmH1N1 54 13158 0 flu-Poon
667-V10 R2 pdmH1N1 54 13158 53 flu-Poon
747-V22 R1R2 H3N2 46 13550 45 flu-Poon
724-V10 R1R2 H3N2 46 13550 57 flu-Poon
741-V10 R2 H3N2 46 13550 106 flu-Poon
787-V10 R1 pdmH1N1 54 13158 0 flu-Poon
787-V10 R1R2 pdmH1N1 54 13158 16 flu-Poon
712-V10 R1R2 pdmH1N1 54 13158 17 flu-Poon
733-V10 R1 H3N2 46 13550 2 flu-Poon
726-V10 R1R2 H3N2 46 13550 40 flu-Poon
710-V10 R1 H3N2 46 13550 0 flu-Poon
698-V20 R2 pdmH1N1 54 13158 40 flu-Poon
751-V31 R1R2 pdmH1N1 54 13158 23 flu-Poon
683-V20 R1 pdmH1N1 54 13158 2 flu-Poon
681-V10 R1R2 pdmH1N1 54 13158 35 flu-Poon
671-V10 R1 H3N2 46 13550 1 flu-Poon
739-V10 R1R2 H3N2 46 13550 48 flu-Poon
762-V10 R2 pdmH1N1 54 13158 36 flu-Poon
757-V10 R1 pdmH1N1 54 13158 2 flu-Poon
734-V10 R1 H3N2 46 13550 4 flu-Poon
662-V10 R2 H3N2 46 13550 127 flu-Poon
739-V22 R1R2 H3N2 46 13550 44 flu-Poon
742-V33 R2 pdmH1N1 54 13158 30 flu-Poon
763-V10 R1R2 H3N2 46 13550 70 flu-Poon
739-V23 R1 H3N2 46 13550 0 flu-Poon
751-V10 R2 pdmH1N1 54 13158 30 flu-Poon
769-V10 R2 H3N2 46 13550 119 flu-Poon
763-V10 R2 H3N2 46 13550 135 flu-Poon
739-V10 R1 H3N2 46 13550 1 flu-Poon
751-V10 R1 pdmH1N1 54 13158 1 flu-Poon
763-V23 R1 H3N2 46 13550 1 flu-Poon
750-V10 R2 H3N2 46 13550 96 flu-Poon
779-V20 R2 pdmH1N1 54 13158 26 flu-Poon
720-V10 R1 H3N2 46 13550 0 flu-Poon
661-V10 R1R2 pdmH1N1 54 13158 18 flu-Poon
745-V10 R1 pdmH1N1 54 13158 0 flu-Poon
665-V10 R2 pdmH1N1 54 13158 48 flu-Poon
779-V12 R2 pdmH1N1 54 13158 38 flu-Poon
662-V10 R1 H3N2 46 13550 0 flu-Poon
