Sample Subtype MappingRate Study
742-V10-36716 pdmH1N1 96.9 flu-Poon
742-V33-36717 pdmH1N1 97.53 flu-Poon
745-V10-36718 pdmH1N1 98.28 flu-Poon
745-V24-36719 pdmH1N1 98.28 flu-Poon
746-V10-36720 pdmH1N1 98.3 flu-Poon
746-V20-36721 pdmH1N1 98.58 flu-Poon
751-V10-36722 pdmH1N1 97.2 flu-Poon
751-V20-36723 pdmH1N1 98.9 flu-Poon
751-V23-36724 pdmH1N1 99.47 flu-Poon
751-V24-36725 pdmH1N1 98.45 flu-Poon
751-V31-36726 pdmH1N1 97.3 flu-Poon
751-V34-36727 pdmH1N1 95.42 flu-Poon
757-V10-36728 pdmH1N1 98.85 flu-Poon
758-V10-36729 pdmH1N1 99.12 flu-Poon
759-V10-36730 pdmH1N1 97.38 flu-Poon
761-V10-36731 pdmH1N1 95.85 flu-Poon
762-V10-36732 pdmH1N1 96.45 flu-Poon
765-V10-36733 pdmH1N1 96.97 flu-Poon
770-V22-36734 pdmH1N1 98.3 flu-Poon
771-V10-36735 pdmH1N1 99.05 flu-Poon
771-V20-36736 pdmH1N1 97.6 flu-Poon
772-V10-36737 pdmH1N1 96.97 flu-Poon
774-V10-36738 pdmH1N1 99.42 flu-Poon
779-V10-36739 pdmH1N1 98.47 flu-Poon
779-V12-36740 pdmH1N1 96.65 flu-Poon
779-V20-36741 pdmH1N1 99.03 flu-Poon
779-V21-36742 pdmH1N1 93.25 flu-Poon
779-V22-36743 pdmH1N1 97.75 flu-Poon
785-V10-36744 pdmH1N1 98.05 flu-Poon
787-V10-36745 pdmH1N1 94.9 flu-Poon
793-V10-36746 pdmH1N1 96.58 flu-Poon
793-V20-36747 pdmH1N1 96.3 flu-Poon
663-V10-36748 pdmH1N1 97.35 flu-Poon
665-V10-36749 pdmH1N1 97.3 flu-Poon
667-V10-36750 pdmH1N1 97.62 flu-Poon
667-V23-36751 pdmH1N1 66.7 flu-Poon
678-V10-36752 pdmH1N1 96.83 flu-Poon
681-V10-36753 pdmH1N1 98.03 flu-Poon
681-V32-36754 pdmH1N1 94.47 flu-Poon
683-V10-36755 pdmH1N1 99.03 flu-Poon
683-V20-36756 pdmH1N1 98.25 flu-Poon
684-V10-36757 pdmH1N1 97.88 flu-Poon
684-V23-36758 pdmH1N1 96.25 flu-Poon
693-V10-36759 pdmH1N1 93.97 flu-Poon
693-V20-36760 pdmH1N1 53.95 flu-Poon
698-V10-36761 pdmH1N1 90.9 flu-Poon
698-V20-36762 pdmH1N1 85.17 flu-Poon
701-V10-36763 pdmH1N1 47.55 flu-Poon
704-V10-36764 pdmH1N1 97.58 flu-Poon
708-V10-36765 pdmH1N1 99.05 flu-Poon
712-V10-36766 pdmH1N1 98.9 flu-Poon
712-V14-36767 pdmH1N1 96 flu-Poon
712-V20-36768 pdmH1N1 96.67 flu-Poon
