662-V10-36803-R1 H3N2 97.90
662-V10-36803-R2 H3N2 97.80
669-V10-36804-R1 H3N2 99.00
669-V10-36804-R2 H3N2 99.10
671-V10-36805-R1 H3N2 99.60
671-V10-36805-R2 H3N2 99.00
672-V10-36806-R1 H3N2 98.00
672-V10-36806-R2 H3N2 97.20
674-V10-36807-R1 H3N2 97.90
674-V10-36807-R2 H3N2 97.70
688-V10-36808-R1 H3N2 99.10
688-V10-36808-R2 H3N2 98.70
689-V10-36809-R1 H3N2 98.90
689-V10-36809-R2 H3N2 98.80
689-V20-36810-R1 H3N2 98.60
689-V20-36810-R2 H3N2 98.50
689-V22-36811-R1 H3N2 97.40
689-V22-36811-R2 H3N2 95.90
692-V10-36812-R1 H3N2 97.70
692-V10-36812-R2 H3N2 96.80
692-V12-36813-R1 H3N2 97.20
692-V12-36813-R2 H3N2 97.80
695-V10-36814-R1 H3N2 98.70
695-V10-36814-R2 H3N2 98.10
703-V10-36815-R1 H3N2 97.40
703-V10-36815-R2 H3N2 98.70
707-V10-36816-R1 H3N2 99.40
707-V10-36816-R2 H3N2 97.80
710-V10-36817-R1 H3N2 98.90
710-V10-36817-R2 H3N2 98.90
714-V10-36818-R1 H3N2 98.80
714-V10-36818-R2 H3N2 95.70
720-V10-36819-R1 H3N2 99.70
720-V10-36819-R2 H3N2 99.00
720-V20-36820-R1 H3N2 99.00
720-V20-36820-R2 H3N2 98.60
720-V21-36821-R1 H3N2 99.80
720-V21-36821-R2 H3N2 99.10
720-V31-36822-R1 H3N2 99.30
720-V31-36822-R2 H3N2 98.60
724-V10-36823-R1 H3N2 99.30
724-V10-36823-R2 H3N2 98.70
724-V20-36824-R1 H3N2 99.00
724-V20-36824-R2 H3N2 98.60
725-V10-36825-R1 H3N2 97.70
725-V10-36825-R2 H3N2 96.90
726-V10-36826-R1 H3N2 98.50
726-V10-36826-R2 H3N2 98.60
727-V10-36827-R1 H3N2 98.50
727-V10-36827-R2 H3N2 98.60
729-V10-36828-R1 H3N2 99.50
729-V10-36828-R2 H3N2 98.80
733-V10-36829-R1 H3N2 98.30
733-V10-36829-R2 H3N2 98.40
734-V10-36830-R1 H3N2 98.70
734-V10-36830-R2 H3N2 97.90
734-V20-36831-R1 H3N2 98.20
734-V20-36831-R2 H3N2 98.90
734-V32-36832-R1 H3N2 98.90
734-V32-36832-R2 H3N2 98.40
736-V10-36833-R1 H3N2 99.30
736-V10-36833-R2 H3N2 98.40
737-V10-36834-R1 H3N2 97.10
737-V10-36834-R2 H3N2 97.40
739-V10-36835-R1 H3N2 98.20
739-V10-36835-R2 H3N2 98.30
739-V22-36836-R1 H3N2 98.40
739-V22-36836-R2 H3N2 98.80
739-V23-36837-R1 H3N2 98.30
739-V23-36837-R2 H3N2 97.70
739-V33-36838-R1 H3N2 98.90
739-V33-36838-R2 H3N2 98.50
741-V10-36839-R1 H3N2 98.20
741-V10-36839-R2 H3N2 97.70
747-V10-36840-R1 H3N2 98.80
747-V10-36840-R2 H3N2 99.30
747-V20-36841-R1 H3N2 97.50
747-V20-36841-R2 H3N2 98.10
747-V22-36842-R1 H3N2 98.70
747-V22-36842-R2 H3N2 97.70
750-V10-36843-R1 H3N2 98.60
750-V10-36843-R2 H3N2 98.20
752-V10-36844-R1 H3N2 99.00
752-V10-36844-R2 H3N2 98.00
755-V20-36845-R1 H3N2 99.30
755-V20-36845-R2 H3N2 98.80
755-V31-36846-R1 H3N2 97.40
755-V31-36846-R2 H3N2 96.00
756-V10-36847-R1 H3N2 99.50
756-V10-36847-R2 H3N2 99.20
763-V10-36848-R1 H3N2 99.10
763-V10-36848-R2 H3N2 98.60
763-V23-36849-R1 H3N2 98.00
763-V23-36849-R2 H3N2 98.40
764-V10-36850-R1 H3N2 97.20
764-V10-36850-R2 H3N2 98.00
768-V10-36851-R1 H3N2 98.80
768-V10-36851-R2 H3N2 98.60
769-V10-36852-R1 H3N2 97.10
769-V10-36852-R2 H3N2 96.90
770-V10-36853-R1 pdmH1N1 96.38
770-V10-36853-R2 pdmH1N1 83.00
781-V10-36854-R1 H3N2 98.50
781-V10-36854-R2 H3N2 98.60
783-V10-36855-R1 H3N2 99.00
783-V10-36855-R2 H3N2 97.60
662-V10-36856-R1 H3N2 96.30
662-V10-36856-R2 H3N2 95.70
669-V10-36857-R1 H3N2 66.10
669-V10-36857-R2 H3N2 68.20
671-V10-36858-R1 H3N2 99.70
671-V10-36858-R2 H3N2 98.50
672-V10-36859-R1 H3N2 97.90
672-V10-36859-R2 H3N2 96.70
674-V10-36860-R1 H3N2 93.70
674-V10-36860-R2 H3N2 94.10
688-V10-36861-R1 H3N2 98.30
688-V10-36861-R2 H3N2 97.10
689-V10-36862-R1 H3N2 98.00
689-V10-36862-R2 H3N2 97.50
689-V20-36863-R1 H3N2 95.10
689-V20-36863-R2 H3N2 95.30
689-V22-36864-R1 H3N2 98.00
689-V22-36864-R2 H3N2 97.80
692-V10-36865-R1 H3N2 91.00
692-V10-36865-R2 H3N2 91.40
695-V10-36866-R1 H3N2 97.90
695-V10-36866-R2 H3N2 96.90
703-V10-36867-R1 H3N2 83.70
703-V10-36867-R2 H3N2 83.60
707-V10-36868-R1 H3N2 98.10
707-V10-36868-R2 H3N2 97.30
710-V10-36869-R1 H3N2 99.00
710-V10-36869-R2 H3N2 98.40
714-V10-36870-R1 H3N2 99.60
714-V10-36870-R2 H3N2 99.40
720-V10-36871-R1 H3N2 99.00
720-V10-36871-R2 H3N2 98.00
720-V20-36872-R1 H3N2 98.80
720-V20-36872-R2 H3N2 98.10
720-V21-36873-R1 H3N2 74.90
720-V21-36873-R2 H3N2 73.20
720-V31-36874-R1 H3N2 99.70
720-V31-36874-R2 H3N2 98.70
724-V10-36875-R1 H3N2 90.00
724-V10-36875-R2 H3N2 90.60
724-V20-36876-R1 H3N2 91.80
724-V20-36876-R2 H3N2 89.90
725-V10-36877-R1 H3N2 96.50
725-V10-36877-R2 H3N2 97.30
726-V10-36878-R1 H3N2 96.40
726-V10-36878-R2 H3N2 96.50
729-V10-36879-R1 H3N2 71.40
729-V10-36879-R2 H3N2 67.40
733-V10-36880-R1 H3N2 97.60
733-V10-36880-R2 H3N2 97.40
734-V10-36881-R1 H3N2 92.00
734-V10-36881-R2 H3N2 90.80
734-V20-36882-R1 H3N2 42.30
734-V20-36882-R2 H3N2 43.90
734-V32-36883-R1 H3N2 93.40
734-V32-36883-R2 H3N2 93.50
736-V10-36884-R1 H3N2 97.60
